sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
1,ok,1769521223.110495806,1769521223.111495733,2026-01-27T15:40:23.110496,2026-01-27T15:40:23.111496,999.93,64,192.168.10.30,5005,
2,ok,1769521223.114419460,1769521223.116928101,2026-01-27T15:40:23.114419,2026-01-27T15:40:23.116928,2508.64,64,192.168.10.30,5005,
3,ok,1769521223.119767904,1769521223.121847391,2026-01-27T15:40:23.119768,2026-01-27T15:40:23.121847,2079.49,64,192.168.10.30,5005,
4,ok,1769521223.124807596,1769521223.126635313,2026-01-27T15:40:23.124808,2026-01-27T15:40:23.126635,1827.72,64,192.168.10.30,5005,
5,ok,1769521223.129573584,1769521223.131399870,2026-01-27T15:40:23.129574,2026-01-27T15:40:23.131400,1826.29,64,192.168.10.30,5005,
6,ok,1769521223.134292126,1769521223.136209488,2026-01-27T15:40:23.134292,2026-01-27T15:40:23.136209,1917.36,64,192.168.10.30,5005,
7,ok,1769521223.139144659,1769521223.140963554,2026-01-27T15:40:23.139145,2026-01-27T15:40:23.140964,1818.90,64,192.168.10.30,5005,
8,ok,1769521223.143944025,1769521223.145565271,2026-01-27T15:40:23.143944,2026-01-27T15:40:23.145565,1621.25,64,192.168.10.30,5005,
9,ok,1769521223.148498535,1769521223.150274277,2026-01-27T15:40:23.148499,2026-01-27T15:40:23.150274,1775.74,64,192.168.10.30,5005,
10,ok,1769521223.153159618,1769521223.154837608,2026-01-27T15:40:23.153160,2026-01-27T15:40:23.154838,1677.99,64,192.168.10.30,5005,
11,ok,1769521223.157785177,1769521223.159349918,2026-01-27T15:40:23.157785,2026-01-27T15:40:23.159350,1564.74,64,192.168.10.30,5005,
12,ok,1769521223.162253618,1769521223.163781404,2026-01-27T15:40:23.162254,2026-01-27T15:40:23.163781,1527.79,64,192.168.10.30,5005,
13,ok,1769521223.166674137,1769521223.168156385,2026-01-27T15:40:23.166674,2026-01-27T15:40:23.168156,1482.25,64,192.168.10.30,5005,
14,ok,1769521223.171033621,1769521223.172538042,2026-01-27T15:40:23.171034,2026-01-27T15:40:23.172538,1504.42,64,192.168.10.30,5005,
15,ok,1769521223.175528288,1769521223.176773548,2026-01-27T15:40:23.175528,2026-01-27T15:40:23.176774,1245.26,64,192.168.10.30,5005,
16,ok,1769521223.179654360,1769521223.181095839,2026-01-27T15:40:23.179654,2026-01-27T15:40:23.181096,1441.48,64,192.168.10.30,5005,
17,ok,1769521223.183939695,1769521223.185271263,2026-01-27T15:40:23.183940,2026-01-27T15:40:23.185271,1331.57,64,192.168.10.30,5005,
18,ok,1769521223.188097000,1769521223.189471483,2026-01-27T15:40:23.188097,2026-01-27T15:40:23.189471,1374.48,64,192.168.10.30,5005,
19,ok,1769521223.192319393,1769521223.193625450,2026-01-27T15:40:23.192319,2026-01-27T15:40:23.193625,1306.06,64,192.168.10.30,5005,
20,ok,1769521223.196511030,1769521223.198020458,2026-01-27T15:40:23.196511,2026-01-27T15:40:23.198020,1509.43,64,192.168.10.30,5005,
21,ok,1769521223.201022625,1769521223.202181578,2026-01-27T15:40:23.201023,2026-01-27T15:40:23.202182,1158.95,64,192.168.10.30,5005,
22,ok,1769521223.205315590,1769521223.206190109,2026-01-27T15:40:23.205316,2026-01-27T15:40:23.206190,874.52,64,192.168.10.30,5005,
23,ok,1769521223.209157705,1769521223.210388184,2026-01-27T15:40:23.209158,2026-01-27T15:40:23.210388,1230.48,64,192.168.10.30,5005,
24,ok,1769521223.213448286,1769521223.214462519,2026-01-27T15:40:23.213448,2026-01-27T15:40:23.214463,1014.23,64,192.168.10.30,5005,
25,ok,1769521223.217442513,1769521223.218075752,2026-01-27T15:40:23.217443,2026-01-27T15:40:23.218076,633.24,64,192.168.10.30,5005,
26,ok,1769521223.220993996,1769521223.221623182,2026-01-27T15:40:23.220994,2026-01-27T15:40:23.221623,629.19,64,192.168.10.30,5005,
27,ok,1769521223.224472284,1769521223.225044727,2026-01-27T15:40:23.224472,2026-01-27T15:40:23.225045,572.44,64,192.168.10.30,5005,
28,ok,1769521223.227871418,1769521223.228479147,2026-01-27T15:40:23.227871,2026-01-27T15:40:23.228479,607.73,64,192.168.10.30,5005,
29,ok,1769521223.231324673,1769521223.231945515,2026-01-27T15:40:23.231325,2026-01-27T15:40:23.231946,620.84,64,192.168.10.30,5005,
30,ok,1769521223.234841108,1769521223.235556841,2026-01-27T15:40:23.234841,2026-01-27T15:40:23.235557,715.73,64,192.168.10.30,5005,
31,ok,1769521223.238544703,1769521223.239242554,2026-01-27T15:40:23.238545,2026-01-27T15:40:23.239243,697.85,64,192.168.10.30,5005,
32,ok,1769521223.242313147,1769521223.243053198,2026-01-27T15:40:23.242313,2026-01-27T15:40:23.243053,740.05,64,192.168.10.30,5005,
33,ok,1769521223.246009827,1769521223.246612549,2026-01-27T15:40:23.246010,2026-01-27T15:40:23.246613,602.72,64,192.168.10.30,5005,
34,ok,1769521223.249441624,1769521223.250098228,2026-01-27T15:40:23.249442,2026-01-27T15:40:23.250098,656.60,64,192.168.10.30,5005,
