packet,recv_time_epoch,send_time_epoch,recv_time_iso,send_time_iso,processing_time_us,packet_size_bytes,from_ip,from_port
1,1769499453.328464985,1769499453.328644276,2026-01-27T09:37:33.328465,2026-01-27T09:37:33.328644,179.29,64,192.168.10.20,36879
2,1769499453.333524942,1769499453.333646774,2026-01-27T09:37:33.333525,2026-01-27T09:37:33.333647,121.83,64,192.168.10.20,36879
3,1769499453.338225365,1769499453.338320971,2026-01-27T09:37:33.338225,2026-01-27T09:37:33.338321,95.61,64,192.168.10.20,36879
4,1769499453.342689276,1769499453.342770576,2026-01-27T09:37:33.342689,2026-01-27T09:37:33.342771,81.30,64,192.168.10.20,36879
5,1769499453.347069979,1769499453.347154379,2026-01-27T09:37:33.347070,2026-01-27T09:37:33.347154,84.40,64,192.168.10.20,36879
6,1769499453.351459980,1769499453.351544619,2026-01-27T09:37:33.351460,2026-01-27T09:37:33.351545,84.64,64,192.168.10.20,36879
7,1769499453.355813265,1769499453.355895758,2026-01-27T09:37:33.355813,2026-01-27T09:37:33.355896,82.49,64,192.168.10.20,36879
8,1769499453.360170126,1769499453.360261917,2026-01-27T09:37:33.360170,2026-01-27T09:37:33.360262,91.79,64,192.168.10.20,36879
9,1769499453.364375114,1769499453.364458561,2026-01-27T09:37:33.364375,2026-01-27T09:37:33.364459,83.45,64,192.168.10.20,36879
10,1769499453.368560076,1769499453.368643761,2026-01-27T09:37:33.368560,2026-01-27T09:37:33.368644,83.68,64,192.168.10.20,36879
11,1769499453.372685909,1769499453.372766495,2026-01-27T09:37:33.372686,2026-01-27T09:37:33.372766,80.59,64,192.168.10.20,36879
12,1769499453.376809359,1769499453.376896858,2026-01-27T09:37:33.376809,2026-01-27T09:37:33.376897,87.50,64,192.168.10.20,36879
13,1769499453.380896091,1769499453.380984545,2026-01-27T09:37:33.380896,2026-01-27T09:37:33.380985,88.45,64,192.168.10.20,36879
14,1769499453.385024786,1769499453.385115862,2026-01-27T09:37:33.385025,2026-01-27T09:37:33.385116,91.08,64,192.168.10.20,36879
15,1769499453.389030933,1769499453.389111757,2026-01-27T09:37:33.389031,2026-01-27T09:37:33.389112,80.82,64,192.168.10.20,36879
